Altitude,Density
669,6.07E-18
670,6.005E-18
671,5.94E-18
672,5.877E-18
673,5.815E-18
674,5.754E-18
675,5.693E-18
676,5.634E-18
677,5.576E-18
678,5.519E-18
679,5.462E-18
680,5.407E-18
681,5.352E-18
682,5.298E-18
683,5.245E-18
684,5.193E-18
685,5.142E-18
686,5.092E-18
687,5.042E-18
688,4.993E-18
689,4.945E-18
690,4.897E-18
691,4.851E-18
692,4.805E-18
693,4.759E-18
694,4.715E-18
695,4.671E-18
696,4.628E-18
697,4.585E-18
698,4.543E-18
699,4.502E-18
700,4.461E-18
